UniqueID,Class,Order,Family,ScientificName,CommonName,Plate,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,SizeMinimumInches,SizeMaximumInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
H0089,Reptilia,Testudines,Testudinidae,Gopherus agassizii,Desert Tortoise,328,471,,,,,,UNCOMMON,RARE,COMMON,,,,,,"Arid sandy or gravelly locales with creosote, thorn scrub, and cacti; also washes, canyon bottoms, and oases.",9.25,14.5,"Feed on grasses in early morning and late afternoon. During the heat of the day, they retreat to a shallow burrow dug in the base of an arroyo wall.",Diurnal,Spring Summer Fall,Critically Endangered,"Grass, leaves, bark, fruit, and succulents.","Mountain lions, foxes, coyotes, bobcats, and eagles."
H0090,Reptilia,Testudines,Trionychidae,Apalone ferox,Florida Softshell Turtle,"272, 273",483,,,,,,,,,,ABUNDANT,,,,"Sandy or muddy-bottomed lakes, ponds, and canals, and big springs with overhanging foliage.",5.7,12.7,"Frequently seen floating on the water's surface or basking along banks. Below water, it rests buried in mud or sand, with only its head poking out. Known for being aggressive.",Diurnal,Spring Summer Fall,Least Concern,"Snails, insects, crustaceans, fish, amphibians, small turtles, snakes, and birds.","Crows, skunks, black bears, raccoons, goxes, fish, turtles, snakes and alligators."
H0091,Reptilia,Testudines,Trionychidae,Apalone spinifera,Spiny Softshell,"270, 271",485,,UNCOMMON,,,,,,,,,,,,"Likes small marshy creeks and farm ponds as well as large, fast-flowing rivers and lakes.",6,14,"Difficult to approach and fast-moving on land and in water. It is fond of basking on banks, logs, and floating debris.",Diurnal,Spring Summer Fall,Least Concern,"Aquatic insects, crayfish, and fish.","Raccoons, skunks, and foxes."
H0092,Reptilia,Testudines,Chelonidae,Caretta caretta,Loggerhead,265,475,,,UNKNOWN,,,,,,,RARE,,,,"Coastal bays, lagoons, estuaries, open seas.",31,38,"Development of beaches and coastal islands has destroyed many nesting sites. Many turtles drown in shrimp nets. Hatchlings are sometimes confused by artificial highway lights and crawl toward them, and are accidentally killed. Older juveniles and adults are most often found in coastal waters and may also be found near coral reefs, and venturing into salt marshes, brackish lagoons, and the mouths of rivers.",Diurnal,Spring Summer Fall,Vulnerable,"Horseshoe crabs, bivalves, barnacles, spongs, shrimp, sea urchins, and fish.","Raccoons, foxes, sharks, crabs, birds, and fish."
H0093,Reptilia,Testudines,Chelonidae,Chelonia mydas,Green Turtle,267,476,,,,,,,,,,UNKNOWN,,UNKNOWN,,Common in shallow tropical and subtropical waters as well as coastline beaches. They forage in coastal areas with plentiful algae and seagrass.,28,60,"Hatchlings spend a lost year at sea; they drift with large floating mats of seaweed. A year later they reappear in shallow waters, where they graze on turtle grass and other marine plants. Extremely vulnerable to human predation.",Any,Spring Summer Fall,Endangered,"Marine invertebrates, various marine plants, and algae.","Humans, foxes, crocodiles, sharks, and crabs."
H0094,Reptilia,Testudines,Chelonidae,Eretmochelys imbricata,Hawksbill,266,478,,,,,,,,,,UNCOMMON,,,,"Shallow coastal waters with rocky bottoms, coral reefs, mangrove-bordered bays and estuaries.",30,36,Bites without hesitation when captured.,Diurnal,Spring Summer Fall,Critically Endangered,"Sponges, sea jellies, fish, crustaceans, and plants.","Humans, sharks, crocodiles, octopi."
H0095,Reptilia,Testudines,Dermochelyidae,Dermochelys coriacea,Leatherback,263,481,,,UNKNOWN,,,,,,,UNCOMMON,UNKNOWN,UNKNOWN,,Open seas and bays and estuaries. Emerge onto land only to lay eggs.,50,84,"A powerful swimmer, it wanders great distances at sea. Long backward-projecting spines line its mouth and esophagus and help them swallow jellyfish, its main food.",Any,Spring Summer Fall,Critically Endangered,"Jellyfish, small crustaceans, fish, and sea urchins.","Humans, lizards, birds, and raccoons."
H0096,Reptilia,Crocodilia,Alligatoridae,Caiman crocodilus,Spectacled Caiman,"257, 260",430,,,,,,,,,,OCC,,,,"Ponds, streams, marshes, rivers, and drainage canals. Slow moving water is preferred. Found in both deep and shallow water.",48,102,"During the head of mid day, they stay submerged, morning to early afternoon they bask on the shore. They typically feed at night.",Any,Spring Summer Fall Winter,Least Concern,"Crabs, fish, lizards, snakes, turtles, birds, and mammals.","Foxes, fish, birds, snakes, other crocodilians."
H0097,Reptilia,Crocodilia,Alligatoridae,Crocodylus acutus,American crocodile,"258, 261",431,,,,,,,,,,UNCOMMON,,,,Bogs and mangrove swamps.,84,180,"They prefer to be alone, retreating from most disturbances. If they feel threatened though, they may become quite aggressive. They bask in the sun, open-mouthed. Most of their behavior and activity occurs at night. During the evening, they spend a lot of time submerged in water.",Any,Spring Summer Fall Winter,Vulnerable,"Fish, frogs, turtles, birds, and mammals.",Raccoons and fish.
H0098,Reptilia,Crocodilia,Alligatoridae,Alligator mississippiensis,American Alligator,"256, 259",429,,,,,,,,,,ABUNDANT,,,,"Fresh and brackish marshes, ponds, lakes, rivers, swamps, bayous, and big spring runs.",72,228,"Important to the ecology of their habitat. during droughts, they dig deep holes which provide water for the wildlife community. They hibernate in dens during the winter. Territorial. Most active in the spring.",Diurnal,Spring Summer Fall,Least Concern,"Amphibians reptiles, birds, and fish.","Raccoons, possums, otters, and birds."
H0099,Reptilia,Squamata,Gekkonidae,Hemidactylus turcicus,House Gecko,397,493,,,,,,,,,,UNCOMMON,,,,Under palm leaves and in crevices of tree bark and rocky outcrops. Most common in occupied buildings.,4,5,"From twilight to dawn, it can be seen darting along walls and ceilings to feed on insects attracted by lights. Highly territorial and aggressive.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Insects, pillbugs, and spiders.","Spiders, bats, and cats."
H0100,Reptilia,Squamata,Gekkonidae,Coleonyx variegatus,Western Banded Gecko,"392, 395",491,,,,,,COMMON,UNCOMMON,COMMON,,,,,,"Rocky tracts, canyon walls, and sand dunes in deserts and semi-arid areas. Creosote bush, sagebrush desert, pinyon juniper woodland and grasses. Avoids the heat of the day by hiding in rock crevices or under logs, fallen limbs, or rubbish.",4.5,6,"Often encountered at night, silhouetted by auto headlights against the black asphalt of desert roads. When stalking prey, it waves its tail like a prowling cat. A constriction at the tail's base marks the place where it breaks away when grabbed.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Termites, cicadas, spiders, crickets, and moths.","Snakes, mammals, and birds."
H0101,Reptilia,Squamata,Anguidae,Elgaria coerulea,Northern Alligator Lizard,448,539,,,,,,,,,,,RARE / UNCOMMON,COMMON,COMMON,"Under rotten logs, rocks, or loose bark in cool, moist woodlands to about 10500ft.",8.75,13,Prefers cooler temperatures than most lizards; hence its occurrence at high elevations. Remains active throughout the day.,Diurnal,Spring Summer Fall,Least Concern,"Crickets, slugs, beetles, spiders, and moths.","Hawks, owls, mammals."
H0102,Reptilia,Squamata,Anguidae,Elgaria multicarinata,Southern Alligator Lizard,"445, 449",542,,,,,,,,,,,,COMMON,COMMON,"Grasslands, open woods, moist areas; wherever cover is plentiful, but primarily oak woodlands of foothills.",10,16.7,"Can sometimes be found climbing bushes as it searches for insects and other small prey. Its stiffly prehensile tail can wrap over small branches to aid climbing. If grabbed roughly, it may bite or defecate.",Diurnal,Spring Summer Fall,Least Concern,"Arthropods, slugs, lizards, and small mammals.","Hawks, owls, mammals."
H0103,Reptilia,Squamata,Anguidae,Gerrhonotus kingi,Arizona Alligator Lizard,446,541,,,,,,,,UNKNOWN,,,,,,"High dry grasslands, open woods of fir, pine, or chaparral. 5000 - 7000ft.",7.5,12.5,Primarily a ground dweller. Active throughout the day. Often heard rustling through leaf litter before it is seen. When spotted it can be difficult to capture as it zigzags through the ground cover.,Diurnal,Spring Summer,Least Concern,"Grasshoppers, caterpillars, moths, and scorptions.","Hawks, owls, mammals."
H0104,Reptilia,Squamata,Dactyloidae,Anolis sagrei,Brown Anole,384,501,,,,,,,,,,ABUNDANT,,,,"Semi tropical environment, on trees, shrubs, fences, walls, and rock piles. Usually within 6ft of the ground.",5,8.75,Frequently found on trees and shrubs. Never ventures far from the ground and rests head down so that if can flee earthward when threatened.,Diurnal,Spring Summer Fall Winter,Least Concern,"Spiders, isopods, moths, crickets, grasshoppers, and worms.","Skinks, snakes, and birds."
H0105,Reptilia,Squamata,Dactyloidae,Anolis carolinensis,Green Anole,"383, 385",497,,COMMON,,,,,,,,ABUNDANT,,,,"Arboreal. Encountered on vertical surfaces like fence posts and walls; but favors tree boles, shrubs, vines, tall grasses, palm fronds.",5,8,Adults prefer shaded perches. Basking anoles are typically brown; fighting males turn green with a black patch behind the eyes. They slowly stalk their prey.,Diurnal,Spring Summer Fall,Least Concern,"Beetles, spiders, mollusks, and sometimes seeds.","Snakes, birds, and frogs."
H0106,Reptilia,Squamata,Crotaphytidae,Crotaphytus collaris,Collared Lizard,"355, 356",503,,,,,,,UNCOMMON,UNCOMMON,,,,,,"Hardwood forests to arid areas with large rocks for basking. More frequent in hilly regions, especially among limestone ledges that provide crevices for good cover.",8,14,"A feisty lizard that will bite readily and hard, given the chance. Active during the warmest part of the day, and usually seen basking on top of elevated rocks or boulders. They stalk their prey on the ground.",Diurnal,Spring Summer Fall Winter,Least Concern,Insects and smaller lizards.,"Hawks, owls, mammals."
H0107,Reptilia,Squamata,Crotaphytidae,Gambelia wislizenii,Leopard Lizard,357,508,,,,,,COMMON,UNCOMMON,RARE,,,,,,"Semiarid regions where soil is sandy or gravelly, and vegetation sparse or in clumps. Sagebrush ,creosote bush, and other scattered low plants.",8.5,15,An agile lizard that darts from bush to bush in search of insects or lies hidden in the shade awaiting unwary prey.,Diurnal,Spring Summer Fall Winter,Least Concern,Small lizards.,"Birds, snakes, coyotes, and foxes."
H0108,Reptilia,Squamata,Helodermatidae,Heloderma suspectum,Gila Monster,332,546,,,,,,,UNKNOWN,UNKNOWN,,,,,,"Arid and semiarid regions of gravelly and sandy soils, especially areas with shrubs and some moisture. Found under rocks, in burrows of other animals, sometimes in holes it digs itself. Areas usually contain scattered cacti, shrubs, mesquite, and grasses. Rocky slopes, arroyos, and canyon bottoms (mainly those with streams) support populations.",18,24,"Primarily nocturnal, although also active on warm winter or spring days. Venomous. They spend most of their lifetime underground in burrows or rocky shelters. ",Any,Spring Summer Fall Winter,Near Threatened,"Mammals, birds, snakes, lizards, frogs, and insects.","Coyotes, badgers, and raptors."
H0109,Reptilia,Squamata,Iguanidae,Dipsosaurus dorsalis,Desert Iguana,345,507,,,,,,COMMON,,UNKNOWN,,,,,,"Arid and semiarid regions of sand, scattered rocks, and creosote bush. ",10,16,"These are wary lizards that flee to the nearest rodent burrow or bush at the slightest hint of danger. They are tolerant of high temperatures. When inactive or at night, they take shelter in small mammal burrows, usually found at the base of creosote bushes or cacti. Aggressive behavior includes push ups.",Diurnal,Spring Summer Fall,Least Concern,"Buds, leaves, and flowers of plants.","Snakes, foxes, and raptors."
H0110,Reptilia,Squamata,Iguanidae,Sauromalus ater,Northern Chuckwalla,331,518,,,,,,COMMON,UNKNOWN,,,,,,,"Open flats and rocky areas, especially where large boulders are present. They require a moderate amount of vegetation and foliage in the habitat in order to sustain themselves. They use underground burrows and crevices for hibernation in winter. ",11,16.5,"On emerging in the morning, this lizard basks until it reaches its preferred body temperature. It then begins searching for food. Retreats into a rocky crevice and wedges itself in sideways by inflating its body.",Diurnal,Spring Summer Fall,Least Concern,Leaves and fruit.,"Birds of prey, coyotes, and rattlesnakes."
H0111,Reptilia,Squamata,Scincidae,Plestiodon fasciatus,Five-Lined Skink,"427, 437, 443",570,OCC,COMMON,,,,,,,,,,,,"Humid woodlands with decaying leaf litter, stumps, logs. May also occur among driftwood piles on the sandy beaches of large lakes. May be seen in gardens and around houses.",5,8,"Terrestrial. Climbs only to bask on stumps or the lower reaches of tree trunks. They may drop their tails, running to shelter to escape their distracted predators. Skinks may use biting as a defensive strategy.",Diurnal,Spring Summer Fall,Least Concern,"Spiders, millipedes, crickets, grasshoppers, caterpillars, and snails.","Birds, snakes, raccoons, foxes, possums, skunks, and shrews."
H0112,Reptilia,Squamata,Scincidae,Plestiodon laticeps,Broadhead Skink,"424, 431",573,,COMMON,,,,,,,,,,,,Moist wooded areas; also open areas where low shelter is provided by leafy debris or piles of rubble.,6.5,12.75,Often found hunting insects high in the trees. Solitary animals. Mainly arboreal but often nests and hunts on the ground.,Diurnal,Spring Summer Fall,Least Concern,"Insects, arachnids, mollusks, and smaller reptiles.","Birds, reptiles, and cats."
H0113,Reptilia,Squamata,Scincidae,Plestiodon skiltonianus,Western Skink,"421, 441, 442",576,,,,,,,UNCOMMON,,,,,COMMON,,"Forest, open woodland, and grassy areas, especially where rocks are abundant. Usually found under leaf litter, logs or rocks.",6.5,9.5,They spend much of their day basking in the sun. Heavy brush and densely forested areas are generally avoided.,Diurnal,Spring Summer Fall,Least Concern,"Insects, insect larvae, spiders, and earthworms.",Snakes and birds of prey.
H0114,Reptilia,Squamata,Scincidae,Eumeces inexpectatus,Southeastern Five-lined Skink,426,572,,RARE,,,,,,,,COMMON,,,,"Moist woods and grassy areas, but also found in drier areas with sparse vegetation and no permanent fresh water.",5.5,8.5,"Although primarily a terrestrial species, its climbing ability is well developed.",Diurnal,Spring Summer Fall,Least Concern,"Insects, such as grasshoppers.","Birds, snakes, and skunks."
H0115,Reptilia,Squamata,Scincidae,Scincella lateralis,Ground Skink,433,578,,COMMON,,,,,,,,COMMON,,,,"Humid forests, hardwood hammocks, and forested grasslands, generally where leaf litter is abundant.",3,5,"They spend most of their day basking in the sun and crawl through leaf litter. They generally do not climb. To avoid predation, they can drop their tail.",Diurnal,Spring Summer Fall,Least Concern,"Termites, millipedes, ants, beetles, and larvae.",Snakes and owls.
H0116,Reptilia,Squamata,Phrynosomatidae,Callisaurus draconoides,Zebra-Tailed Lizard,"362, 502",502,,,,,,COMMON,UNKNOWN,COMMON,,,,,,"Lives in desert or in semi-arid habitats with loose sandy soil In rocky areas, this species is limited to sandy washes or occurs among boulders in canyons. In deserts, it is most often found on the desert floor among shrubs, which are used for shade; rocks and boulders are used as perches for basking.",6,9,"These are swift runners, curling their tails over their backs to expose the zebra stripes.They are more tolerant of high temperatures than most lizards and are often seen basking in the sun in the middle of the day. Use burrows for shelter during evening hours.",Diurnal,Spring Summer,Least Concern,"Scorpions, flies, ants, spiders, leaves, and flowers.","Snakes, hawks, coyotes, foxes, and roadrunners."
H0117,Reptilia,Squamata,Phrynosomatidae,Holbrookia maculata,Lesser Earless Lizard,"346, 366, 370",510,,,,,,,,COMMON,,,,,,"Sandy soil areas in grassy prairie, desert grasslands.",4,5,Loss of external ear may be an adaptation to this lizard's habitat of burrowing head first into sand.,Diurnal,Spring Summer Fall,Least Concern,Insects and small spiders.,Snakes and owls.
H0118,Reptilia,Squamata,Phrynosomatidae,Sceloporus graciosus,Sagebrush Lizard,377,521,,,,UNCOMMON,,,ABUNDANT,,,,,UNKNOWN,COMMON,"Primarily areas of sagebrush and gravelly soils or fine-sand dunes. Never far from shelter such as stony piles, crevices, animal burrows.",5,6,"Primarily terrestrial, these lizards occasionally climb trees or bushes in pursuit of prey. Easily frightened and will immediately seek refuge in crevices, brush, burrows, rocks, or trees. ",Diurnal,Spring Summer Fall,Least Concern,"Ants, beetles, grasshoppers, flies, and arachnids.","Snakes, birds of prey, and mammals."
H0119,Reptilia,Squamata,Phrynosomatidae,Sceloporus magister,Desert Spiny Lizard,350,523,,,,,,,COMMON,UNCOMMON,,,,,,"Arid and semiarid areas at low elevation where vegetation and rocks provide adequate cover. Often encountered on lower slopes, plains, low valleys, or in the vicinity of ground cover such as wood piles, rock piles, and pack rat nests. Prefers cottonwood, yucca, and Joshua trees.",7,12,"These are wary lizards that dart into rocky crevices, rodent holes, or vegetative cover when startled. They readily climb trees or walls in search of insect prey. Usually during the morning hours, it will be out basing in the sun on rocks, but will seek shelter during the hottest part of the day.",Diurnal,Spring Summer Fall,Least Concern,"Ants, beetles, caterpillars, spiders, and centipedes.","Snakes, birds of prey, and mammals."
H0120,Reptilia,Squamata,Phrynosomatidae,Sceloporus occidentalis,Western Fence Lizard,379,525,,,,,,,UNKNOWN,,,,UNKNOWN / RARE,COMMON,COMMON,"Rocky and mixed forest areas from sea level to above 9000ft. Adapts to a wide variety of conditions but not to desert. Frequents stone fences, fence posts, old buildings.",6,9.25,"Easily encountered; may be observed even in midwinter on mild days. Commonly seen basking on rocks, paths, and fence posts.",Diurnal,Spring Summer Fall Winter,Least Concern,Small invertebrates.,"Snakes, birds, and reptiles."
H0121,Reptilia,Squamata,Phrynosomatidae,Urosaurus ornatus,Tree Lizard,369,535,,,,,,,UNCOMMON,COMMON,,,,,,"Trees, rocks, fence posts, and buildings in arid regions often near streams, and dry washes. Common in riparian areas, rocky terrain, sides of buildings and fence posts. They are also found in desert habitats with or without trees.",4.5,6.25,"This lizard is often found in pairs or groups. Shy and wary, it is adept at hiding by agilely keeping a tree trunk or branch between itself and a pursuer. Commonly encountered in the morning and late afternoon.",Diurnal,Spring Summer Fall,Least Concern,"Spiders beetles, ants, termites, and insect larvae.",Owls and snakes.
H0122,Reptilia,Squamata,Phrynosomatidae,Sceloporus undulatus,Eastern Fence Lizard,375,529,,COMMON,,,,,,,,,,,,"Generally sunny locations: favors rotting logs, open woodlands, open grassy dunes, prairies.",3.5,7.5,"Primarily arboreal. Basks in the sun on wood piles, fence posts, and trees. ",Diurnal,Spring Summer Fall,Least Concern,"Ants, beetles, weevils, spiders, and centipedes.",Birds and snakes.
H0123,Reptilia,Squamata,Phrynosomatidae,Uta stansburiana,Side-Blotched Lizard,363,537,,,,,,ABUNDANT,ABUNDANT,COMMON,,,,,,"Arid and semiarid regions with coarse, gravelly soil and low-growing vegetation.",4,6.3,These lizards live on or near the ground and are voracious consumers of insects. Active on any warm day.,Diurnal,Spring Summer Fall Winter,Least Concern,Insects and small spiders.,Birds.
H0124,Reptilia,Squamata,Phrynosomatidae,Phrynosoma platyrhinos,Desert Horned Lizard,"339, 341",517,,,,,,COMMON,UNKNOWN,UNCOMMON,,,,,,"Areas of sandy, gravelly soil, windblown sand; flat, arid stretches where rocks or scrub vegetation are present.",3,5.3,"If discovered in the open, this lizard usually sits quietly, depending on camouflage for safety. When near vegetation, it will dash for cover under the nearest bush. If provoked, it hisses, threatening to bite.",Diurnal,Spring Summer Fall,Least Concern,"Ants, crickets, grasshoppers, beetles, and worms.",Snakes and birds of prey.
H0125,Reptilia,Squamata,Teiidae,Cnemidophorus sonorae,Western Whiptail,420,563,,,,,,UNKNOWN,ABUNDANT,COMMON,,,,,,"Arid and semiarid desert to open woodlands, where vegetation is sparse enough to make running easy. These habitats include oak woods and oak savanna, streamside woods, desert grasslands, and desert scrublands.",8,12,"This lizard digs burrows both for safe retreats and to find underground prey. It stalks any small moving object. Generally active in the morning, then they rest during the hottest part of the day, rescuing their activities in the afternoon.",Diurnal,Spring Summer Fall,Least Concern,Insects and other invertebrates.,"Snakes and birds, especially roadrunners."
H0126,Reptilia,Squamata,Xantusiidae,Xantusia vigilis,Desert Night Lizard,"403, 406",551,,,,,,COMMON,,,,,,,,"Arid and semiarid granite outcroppings and rocky areas, among fallen leaves and trunks of yuccas, agaves, and Joshua trees.",3.75,5,"During the day, it might be found in rock crevices or under plant debris. Activity may continue after dusk, hence the name. Tail breaks off easily.",Diurnal,Spring Summer Fall,Least Concern,"Termites, ants, beetles, and flies.","Larger lizards, snakes, and birds."
H0127,Reptilia,Squamata,Boidae,Charina bottae,Rubber Boa,472,586,,,,RARE,UNKNOWN,,,,,,UNCOMMON / RARE,OCC,UNCOMMON,"Damp woodland and coniferous forest, large grassy areas, meadows, and moist sandy areas along rocky streams. Sea level to 9200ft.",14,33,"Crepuscular and nocturnal. An accomplished burrowerm, it retreats under rocks or into damp sand, hollow rotting logs, or forest litter. Also a good swimmer and climber. It is a constrictor. Docile and curls into a ball when picked up.",Nocturnal,Spring Summer Fall,Least Concern,"Small mammals, birds, and lizards.","Birds of prey, coyotes, and raccoons."
H0128,Reptilia,Squamata,Boidae,Lichanura trivirgata,Rosy Boa,"508, 525",587,,,,,,COMMON,,,,,,,,"Desert, arid scrub, brushland, rocky chaparral-covered foothills, particularly where moisture is available, as around springs, streams, and canyon floors. sea level to 4000ft.",24,42,"Primarily terrestrial; but occasionally climbs shrubs. It spends most of its life concealed beneath rocks and in crevices to escape the elements and natural predators. Granite outcroppings are the most common geologic association. A powerful constrictor. Seldom bites when handled, but when frightened it may coil into a tight ball. ",Nocturnal,Spring Summer Fall,Least Concern,"Small mammals, lizards, amphibians, and birds.","Birds of prey, coyotes, and raccoons."
H0129,Reptilia,Squamata,Boidae,Python bivittatus,Burmese Python,,,,,,,,,,,,COMMON,,,,"Lives in grasslands, marshes, swamps, rocky foothills, woodlands, river valleys, and jungles with open clearings.",48,72,"Primarily found on the ground, but will sometimes climb trees. Very often found in or near water. They are expert swimmers. Python invasion is extensive in southern Florida. They compete with the American alligator.",Nocturnal,Spring Summer Fall,Vulnerable,"Mammals, birds, amphibians, and reptiles.",Humans and alligators.
H0130,Reptilia,Squamata,Elapidae,Micrurus fulvius fulvius,Eastern Coral Snake,"617, 618",681,,,,,,,,,,UNCOMMON,,,,"Moist, densely vegetated hammocks near ponds or streams in hardwood forests. ",22,47,"Venomous! Usually seen under rotting logs or leaves or moving on surface in early morning or late afternoon. They spend much of their time underground, under logs and rocks, or among decaying organic matter.",Diurnal,Spring Summer Fall Winter,Least Concern,"Snakes, amphibians, and mammals.","Larger snakes, and birds."
H0131,Reptilia,Squamata,Colubridae,Arizona elegans,Glossy Snake,"566, 577, 587",590,,,,,,COMMON,UNKNOWN,UNKNOWN,,,,,,"Dry, open sandy areas, coastal chaparral, creosote-mesquite desert, sagebrush flats, and oak-hickory woodland, below sea level to 5500ft.",26,70,It is a capable burrower and is usually seen on the surface in the early evening hours during the warmer months. Known to be gentle and calm. ,Nocturnal,Spring Summer Fall,Least Concern,"Lizards, snakes, and small mammals.","Owls, mammals, and other snakes."
H0132,Reptilia,Squamata,Colubridae,Carphophis amoenus,Worm Snake,493,591,,COMMON,,,,,,,,,,,,"Damp hilly woodlands, partially wooded or grassy hillsides above streams, sea level to 4300ft",8,14,"Secretive. Dwells in damp situations under rocks, decaying logs, or stumps, or in loose soil. Most likely to be seen in spring. During dry and cold periods it retreats into deep soil. Most likely to be seen after heavy rains. Does not bite when handled.",Diurnal,Spring Summer Fall,Least Concern,Earthworms.,"Snakes, birds, and possums."
H0133,Reptilia,Squamata,Colubridae,Cemophora coccinea coccinea,Scarlet Snake,607,592,,UNKNOWN,,,,,,,,ABUNDANT,,,,"Hardwood, mixed, or pine forest and adjacent open areas with sandy or loamy well-drained soils.",14,32,"A burrower, this species is rarely encountered during the day. May prowl about at night. Occasionally found under rotting logs or stones.",Nocturnal,Spring Summer Fall,Least Concern,"Reptile eggs, rodents, and lizards.",Birds.
H0134,Reptilia,Squamata,Colubridae,Chionactis occipitalis,Western Shovel-Nosed Snake,"604, 612",594,,,,,,COMMON,UNKNOWN,,,,,,,"Arid desert land; sandy washes, dunes, and rocky hillsides; prefers areas with scattered mesquite-creosote bush below sea level to 4700ft",10,17,"Occasionally seen during the day, but essentially nocturnal. May strike repeatedly when approached, but the tiny teeth do little damage.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Centipedes, scorpions, and insects.",Birds and mammals.
H0135,Reptilia,Squamata,Colubridae,Coluber constrictor constrictor,Racer,486,596,UNKNOWN,COMMON,,,,,,,,ABUNDANT,,ABUNDANT,UNCOMMON,"Abandoned fields, grassland, sparse brushy areas along prairie land, open woodland, mountain meadows, rocky wooded hillsides, grassy-bordered streams, and pine flatwoods. sea level to 7000ft",34,77,"May be encountered in most any terrestrial situation except atop high mountains and in hottest deserts. Although agile and a good climber, it spends most of its time on the ground. When hunting, it holds its head high and moves swiftly through cover. Often hibernates in rocky hillsides in large numbers. When annoyed it makes a buzzing sound like a rattler. If grabbed, it will bite repeatedly and thrash about violently. Varieties: Northern Black Racer, Blue Racer, Black Racer, Western Yellow-Bellied Racer, Everglades Racer",Diurnal,Spring Summer Fall,Least Concern,"Large insects, frogs, lizards, snakes, small rodents, and birds.",Coyotes and birds.
H0136,Reptilia,Squamata,Colubridae,Diadophis punctatus,Ringneck Snake,,600,UNCOMMON,COMMON,COMMON,,,,,,,ABUNDANT,,,,"Moist situations in varied habitat; forest, grassland, rocky wooded hillsides, chaparral, into upland desert along streams; seal level to 7000ft",10,30,"Secretive. Most often seen under flat rocks, logs, or loose bark of dead trees. When threatened, it tightly coils the tail and elevates it to display the brightly colored underside. Rarely attempts to bite when picked up, but will void musk and foul smelling contents. Partially constricts prey.",Nocturnal,Spring Summer Fall,Least Concern,"Small salamanders, lizards, and frogs.","Snakes, possums, skunks, owls, and bullfrogs."
H0137,Reptilia,Squamata,Colubridae,Drymarchon corais couperi,Eastern Indigo Snake,489,602,,,,,,,,,,RARE,,,,"Pine woods, oak, and palmetto stands near water; tropical hammocks. They take shelter in hollow logs, or the burrows of rodents.",60,103,"Not a constrictor, it immobilizes food with its jaws. When disturbed, it hisses, vibrates its tail, and flattens its neck. ",Diurnal,Spring Summer Fall Winter,Least Concern,"Mammals, frogs, lizards, fish, eggs, and birds.",Humans
H0138,Reptilia,Squamata,Colubridae,Elaphe obsoleta,Rat Snake,,605,,COMMON,,,,,,,,COMMON,,,,"Hardwood forests, swamps, wet to arid situations.",34,101,"Black, Everglades, Yellow varieties. A skillful climber, it ascends trees or rafters. Active during the day in spring and fall, but becomes nocturnal in summer. If these snakes are seen and confronted by danger, they tend to freeze and remain motionless. They produce a foul-smelling musk and will release it on the predator if they are picked up. ",Any,Spring Summer Fall,Least Concern,Rodents and other small mammals.,Humans
H0139,Reptilia,Squamata,Colubridae,Elaphe guttata guttata,Corn Snake,"570, 608",604,,COMMON,,,,,,,,ABUNDANT,,,,"Wooded groves, rocky hillsides, meadowland; along watercourses, around springs, woodlots, barnyards, and abandoned houses. sea level to 6000ft.",24,72,"It readily climbs trees and enters abandoned houses. They are secretive and spend most of their time underground. They also hide under loose bark and beneath logs, rocks, and other debris during the day.",Nocturnal,Spring Summer Fall,Least Concern,"Rodents, amphibians, and eggs.","Foxes, possums, skunks, bobcats, weasels, and hawks."
H0140,Reptilia,Squamata,Colubridae,Heterodon platyrhinos,Eastern Hognose Snake,"485, 563, 565",614,UNKNOWN,UNCOMMON,,,,,,,,,,,,"Prefers open sandy-soiled areas; thinly wooded upland hillsides, cultivated fields, woodland meadows. Sea level to 2500ft",20,45,"When disturbed, it hoods its neck, inflates its body, hisses loudly, and strikes. It will also play dead. Rarely bites people. ",Diurnal,Spring Summer,Least Concern,"Toads, frogs, birds, mammals, and salamanders.","Raccoons, possums, foxes, hawks, and snakes."
H0141,Reptilia,Squamata,Colubridae,Hypsiglena chlorophaea deserticola,Night Snake,586,616,,,,,,COMMON,,,,,,,,"Semiarid and arid sandy or rocky situations including rocky canyons, oak woodlands, brushy flatlands, prairies, and grasslands.",12,26,Found in burrows or rocky crevices during the day. Solitary. ,Nocturnal,Spring Summer Fall,Least Concern,"Scorpions, lizards, salamands, toads, and frogs.","Owls, mammals, and hawks."
H0142,Reptilia,Squamata,Colubridae,Lampropeltis getula,Common Kingsnake,?,618,,COMMON,,,,COMMON,,,,UNCOMMON,,OCC,UNCOMMON,"Can be found in forests, grasslands, and deserts. Microhabitats include under wood or lumber, in barns, along stone walls, holes, or in clearings. Can also be found along the edges of swamps and marshes. ",36,82,"Eastern, California, and Florida varieties. Active during the day, especially early in the morning or near dusk, but becomes nocturnal in the warm summer months. It is primarily terrestrial, occasionally climbing into shrubs. A strong constrictor.",Any,Spring Summer Fall,Least Concern,"Snakes, skinks, small mammals, newts, and eggs.","Alligators, hawks, larger snakes, skunks, possums, and raccoons."
