UniqueID,Class,Order,Family,ScientificName,CommonName,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,LengthInches,WingspanInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
B0128,Aves,Accipitriformes,Accipitridae,Aquila chrysaetos,Golden Eagle,201,,,,UNCOMMON - A,UNCOMMON - A,RARE - W,COMMON - W,RARE - W,,,UNCOMMON - W/ UNCOMMON - W,UNCOMMON - W,UNCOMMON - A,"Open mountains, foothills, plains, open country. Requires open terrain. In the north and west, found over tundra, prairie, rangeland, or desert; very wide-ranging in winter, more restricted to areas with good nest sites in summer. In forested eastern North America, often hunts over marshes or along rivers.",,,,,,,,
B0129,Aves,Falconiformes,Falconidae,Falco sparverius,American Kestrel,202,COMMON - A,RARE - A,COMMON - S,COMMON - A,COMMON - S,COMMON - A,COMMON - A,UNCOMMON - A,UNCOMMON - A,COMMON - W,UNCOMMON - A/ UNCOMMON - A,COMMON - A,UNCOMMON - S,"Open country, farmland, cities, wood edges. Inhabits any kind of open or semi-open situation, from forest clearings to farmland to desert, wherever it can find adequate prey and some raised perches. In breeding season, may be limited to habitats that also provide appropriate nesting sites. In winter, females may tend to be found in more open habitats than males.",,,,,,,,
B0130,Aves,Falconiformes,Falconidae,Falco columbarius,Merlin,203,,,,RARE - A/ UNKNOWN - S,RARE - A,,,,UNCOMMON - S,UNCOMMON - W,RARE - W/ UNCOMMON - W,RARE - W,,"Open conifer woodland, prairie groves; in migration, also foothills, marshes, open country. Generally breeds in semi-open terrain having trees for nest sites and open areas for hunting. Habitat varies from coniferous forest in north and on northwest coast to isolated deciduous groves and suburban yards on prairies. May winter in more open areas, such as grasslands, coastal marshes.",,,,,,,,
B0131,Aves,Falconiformes,Falconidae,Falco peregrinus,Peregrine Falcon,204,,,,UNCOMMON - S,RARE - S,UNKNOWN - W,UNCOMMON - A,UNCOMMON - A,,UNCOMMON - W,UNCOMMON - A/ UNCOMMON - A,RARE - A,RARE - W,"Open country, cliffs (mountains to coast); sometimes cities. Over its wide range, found in wide variety of open habitats, from tundra to desert mountains. Often near water, especially along coast, and migrants may fly far out to sea. Limited by availability of nest sites and prey; thus, it often moves into cities, nesting on building ledges and feeding on pigeons.",,,,,,,,
B0132,Aves,Falconiformes,Falconidae,Falco mexicanus,Prairie Falcon,205,,,,UNCOMMON - A,UNCOMMON - A,UNCOMMON - A,RARE - A,UNCOMMON - A,,,,,RARE - A,"Open hills, plains, prairies, deserts. Typically found in fairly dry open country, including grassland and desert. Also in open country above treeline in high mountains. In winter, often found in farmland and around lakes and reservoirs, and may regularly winter in some western cities. Avoids forested country, and usually scarce on the immediate coast.",,,,,,,,
B0133,Aves,Columbiformes,Columbidae,Zenaida macroura,Mourning Dove,242,COMMON - A,COMMON - A,COMMON - A,RARE - S/ COMMON - S,UNCOMMON - S,COMMON - A,COMMON - A,ABUNDANT - A,UNCOMMON - A,COMMON - A,RARE - A/ OCCASIONAL - A,UNCOMMON - A,UNCOMMON - A,Open habitats from mountaintops to deserts.,,,,,,,,
B0134,Aves,Cuculiformes,Cuculidae,Coccyzus erythropthalmus,Black-Billed Cuckoo,252,UNCOMMON - S,UNCOMMON - S,RARE - S,,,,,,RARE - S,,,,,"Wood edges, groves, thickets. Breeds mostly in deciduous thickets and shrubby places, often on the edges of woodland or around marshes. Also in second growth of mixed deciduous-coniferous woods, or along their brushy edges. In migration, seeks any kind of dense cover, usually among young trees or tall shrubs.",,,,,,,,
B0135,Aves,Cuculiformes,Cuculidae,Coccyzus americanus,Yellow-Billed Cuckoo,252,UNCOMMON - S,UNCOMMON - S,UNKNOWN - S,,,,RARE - A,,OCCASIONAL - S,COMMON - S,,,,"Woodlands, thickets, orchards, streamside groves. Breeds mostly in dense deciduous stands, including forest edges, tall thickets, dense second growth, overgrown orchards, scrubby oak woods. Often in willow groves around marshes. In the west, mostly in streamside trees, including cottonwood-willow groves in arid country.",,,,,,,,
B0136,Aves,Cuculiformes,Cuculidae,Coccyzus minor,Mangrove Cuckoo,253,,,,,,,,,,UNCOMMON - A,,,,"In our area, mostly in mangroves. In Florida, lives in mangrove swamps and in groves of tropical hardwoods on the Keys and the southern mainland. Elsewhere in range, found in mangroves and in various kinds of scrubby woods, including dry forest far from water.",,,,,,,,
B0137,Aves,Cuculiformes,Cuculidae,Geococcyx californianus,Greater Roadrunner,253,,,,,,UNCOMMON - A,UNCOMMON - A,UNCOMMON - A,,,,,,"Deserts, open country with scattered brush. Most common in Sonoran desert and in other kinds of brushy country, including chaparral and Texas brushlands, in areas with a mix of open ground and dense low cover. At limits of range, found in dry grassland, forest edges, and limestone hills with scattered junipers.",,,,,,,,
B0138,Aves,Strigiformes,Tytonidae,Tyto alba,Barn Owl,256,,,,,,UNCOMMON - A,OCCASIONAL - A,RARE - A,,UNCOMMON - A,,UNCOMMON - A,OCCASIONAL - A,"Woodlands, groves, farms, barns, towns, cliffs. Typically in open or semi-open country in lowlands. May nest in forest or city if nearby area has good open foraging territory, such as farmland, marsh, prairie, desert.",,,,,,,,
B0139,Aves,Strigiformes,Strigidae,Asio flammeus,Short-Eared Owl,257,,,,RARE - A/ UNCOMMON - A,UNKNOWN - A,,,,,,,OCCASIONAL - W,,"Open habitats - savannas, grasslands, fields, marshes, and prairies.",,,,,,,,
B0140,Aves,Strigiformes,Strigidae,Asio otus,Long-Eared Owl,257,UNKNOWN - S,,RARE - A,RARE - A/ UNCOMMON - A,OCCASIONAL - S,,OCCASIONAL - W,,OCCASIONAL - S,,,,RARE - A,"Woodlands, conifer groves. Favored habitat includes dense trees for nesting and roosting, open country for hunting. Inhabits a wide variety of such settings, including forest with extensive meadows, groves of conifers or deciduous trees in prairie country, streamside groves in desert. Generally avoids unbroken forest.",,,,,,,,
B0141,Aves,Strigiformes,Strigidae,Bubo virginianus,Great Horned Owl,258,UNCOMMON - A,RARE - A,UNCOMMON - A,COMMON - A,UNCOMMON - A,COMMON - A,COMMON - A,UNCOMMON - A,UNCOMMON - A,RARE - A,RARE - A/ UNCOMMON -  A,UNCOMMON - A,COMMON - A,"Forests, woodlots, streamsides, open country. Found in practically all habitats in North America, from swamps to deserts to northern coniferous forest near treeline. In breeding season avoids tundra and unbroken grassland, since it requires some trees or heavy brush for cover.",,,,,,,,
B0142,Aves,Strigiformes,Strigidae,Bubo scandiacus,Snowy Owl,259,UNCOMMON - W,,RARE - W,,,,,,OCCASIONAL - W,,,,,"Prairies, fields, marshes, beaches, dunes; in summer, arctic tundra. Breeds on tundra, from just north of treeline to the northernmost land. Prefers very open tundra, either in hilly country or wetter areas near coast. Winters in open country, including prairies, farmland, coastal marshes, beaches, large airports.",,,,,,,,
B0143,Aves,Strigiformes,Strigidae,Strix varia,Barred Owl,260,UNCOMMON - A,UNCOMMON - A,UNCOMMON - A,,UNCOMMON - A,,,,OCCASIONAL - A,COMMON - A,COMMON - A/ UNCOMMON - A,UNCOMMON - A,,"Woodlands, wooded river bottoms, wooded swamps. Favors mostly dense and thick woods with only scattered clearings, especially in low-lying and swampy areas. Most common in deciduous or mixed woods in southeast, but in north and northwest may be found in mature coniferous trees.",,,,,,,,
B0144,Aves,Strigiformes,Strigidae,Strix nebulosa,Great Gray Owl,259,,,,UNCOMMON - A,RARE - A,,,,,,,,RARE - A,"Dense conifer forests, adjacent meadows, bogs. Generally favors country with mix of dense forest for nesting and roosting, and open areas for hunting. In the north, mostly around bogs, clearings, and burns in extensive coniferous woods; in the west, mostly around meadows in mountain forest.",,,,,,,,
B0145,Aves,Strigiformes,Strigidae,Aegolius funereus,Boreal Owl,261,,,,UNCOMMON - A,RARE - A,,,,,,OCCASIONAL - A/ N,,,"Mixed-wood and conifer forests, muskeg. Nests mostly in forests where coniferous trees such as spruce or fir are mixed with deciduous trees including aspen or birch. Such habitats are found at low elevations in the north, only in high mountains toward the south. During winter invasions, usually found in groves of conifers.",,,,,,,,
B0146,Aves,Strigiformes,Strigidae,Strix occidentalis,Spotted Owl,260,,,,,,,UNCOMMON - A,,,,RARE - A/ RARE - A,UNCOMMON - A,UNCOMMON - A,"Mature old-growth forests, conifers, wooded canyons. Along Pacific seaboard, mainly in undisturbed old-growth timber, including douglas-fir and redwoods. In southwest, generally in forested mountains and canyons, especially where tall trees grow close to rocky cliffs.",,,,,,,,
B0147,Aves,Strigiformes,Strigidae,Aegolius acadicus,Northern Saw-Whet Owl,261,,UNCOMMON - A,UNCOMMON - A,UNCOMMON - A,UNCOMMON - A,,,,RARE - A,,UNCOMMON - A/ UNCOMMON - A,UNCOMMON - A,RARE - A,"Forests, conifers, groves. Breeds most commonly in coniferous forest of various kinds, including open pine forest, spruce-fir associations, white cedar swamps; also mixed woods such as pine-oak, spruce-poplar, and others. In some places, breeds in oak woodland or in streamside groves in arid country. Winters in habitats with dense cover, especially groves of conifers.",,,,,,,,
B0148,Aves,Strigiformes,Strigidae,Psiloscops flammeolus,Flammulated Owl,262,,,,,,,RARE - S,,,,,,UNCOMMON - S,"Open pine forests in mountains. Nests in relatively open forest, typically of ponderosa pine, in cool and fairly dry zones such as mountains of the interior. In some areas, favors groves of aspen. Upper level of forest usually quite open, but may be brushy understory of oaks and other plants. In migration, sometimes found in dense thickets at lower elevations.",,,,,,,,
B0149,Aves,Strigiformes,Strigidae,Megascops asio,Eastern Screech-Owl,264,OCCASIONAL - A,UNCOMMON - A,UNKNOWN - A,,,,,,UNKNOWN - A,COMMON - A,,,,"Woodlands, farm groves, shade trees. Generally favors deciduous or mixed woods, but may be found in any habitat having some open ground and some large trees, from forest to isolated groves to suburban yards. May be absent from some areas because of lack of dead snags with suitable nesting holes.",,,,,,,,
B0150,Aves,Strigiformes,Strigidae,Athene cunicularia,Burrowing Owl,264,,,,UNKNOWN - A/ RARE - S,,RARE - A,UNKNOWN - A,UNKNOWN - S,,RARE - A,,,,"Open grassland, prairies, farmland, airfields. Favors areas of flat open ground with very short grass or bare soil. Prairie-dog towns once furnished much ideal habitat in west, but these are now scarce, and the owls are found on airports, golf courses, vacant lots, industrial parks, other open areas.",,,,,,,,
B0151,Aves,Strigiformes,Strigidae,Megascops kennicottii,Western Screech-Owl,265,,,,RARE - A/ UNKNOWN - A,RARE - A,RARE - A,UNCOMMON - A,UNCOMMON - A,,,RARE - A/ UNCOMMON - A,COMMON - A,COMMON - A,"Wooded canyons, desert mesquites, farm groves, shade trees. Found in a wide variety of wooded or semi-open habitats, including forest edge, wooded suburbs, canyons, mesquite groves and saguaros in the desert, streamside groves in arid country. Mostly in deciduous or mixed woods. Avoids extreme desert situations and higher elevations in mountains",,,,,,,,
B0152,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles minor,Common Nighthawk,266,UNCOMMON - S,RARE - S,COMMON - S,COMMON - S,UNCOMMON - S,,,,UNCOMMON - S,COMMON - S,UNCOMMON - S/ UNCOMMON - S,,,Open country and city -includes open forests,,,,,,,,
B0153,Aves,Caprimulgiformes,Caprimulgidae,Phalaenoptilus nuttallii,Common Poorwill,267,,,,,,COMMON - A,COMMON - A,COMMON - A,,,,,,"Dry hills, open brush. Various kinds of open dry terrain at low elevation in the west, including rocky mesas with scattered shrubs, washes and hills in Sonoran desert, scrubby areas in dry open pine forest. May be found in open grassland, but usually only around rocky outcrops",,,,,,,,
B0154,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus vociferus,Whip-poor-will,268,UNCOMMON - S,UNCOMMON - S,COMMON - S,,,,,,OCCASIONAL - S,UNCOMMON - W,,,,"Leafy woodlands. Breeds in rich moist woodlands, either deciduous or mixed; seems to avoid purely coniferous forest. Winter habitats are also in wooded areas.",,,,,,,,
B0155,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Lesser Nighthawk,267,,,,,,COMMON - S,UNKNOWN - S,COMMON - S,,,,,,"Arid scrub, dry grassland, desert washes. Found in open arid habitats including desert, grassland, brushy country. Where it overlaps locally with the Common Nighthawk in the southwest, the Lesser is more common at lower elevations and in drier country.",,,,,,,,
B0156,Aves,Coraciiformes,Alcedinidae,Megaceryle alcyon,Belted Kingfisher,271,COMMON - S,UNCOMMON - A,COMMON - A,UNCOMMON - A/ COMMON - A,UNCOMMON - S,,COMMON - W,,UNCOMMON - S,COMMON - W,COMMON - A/ COMMON - A,COMMON - A,RARE - A,"Streams, lakes, bays, coasts; nests in banks. During winter and migration, may be found in almost any waterside habitat, including the edges of small streams and ponds, large rivers and lakes, marshes, estuaries, and rocky coastlines; seems to require only clear water for fishing. During breeding season, more restricted to areas with suitable dirt banks for nesting holes.",,,,,,,,
B0157,Aves,Piciformes,Picidae,Melanerpes formicivorus,Acorn Woodpecker,274,,,,,,,,,,,,COMMON - A,ABUNDANT - A,"Oak and mixed forests, often in foothills or mountains.",,,,,,,,
B0158,Aves,Piciformes,Picidae,Melanerpes carolinus,Red-bellied Woodpecker,276,UNCOMMON - A,UNCOMMON - A,UNKNOWN - A,,,,,,,COMMON - A,,,,Wooded habitats and places with trees.,,,,,,,,
B0159,Aves,Piciformes,Picidae,Sphyrapicus varius,Yellow-bellied Sapsucker,278,UNCOMMON - S,,COMMON - S,,,,,,UNCOMMON - S,,,,,Found mostly in deciduous and mixed forests.,,,,,,,,
B0160,Aves,Piciformes,Picidae,Sphyrapicus nuchalis,Red-naped Sapsucker,278,,,,UNCOMMON - S/ COMMON - S,COMMON - S,,COMMON - W,,,,,,,"Woodlands, aspen groves; in winter, also other trees. In summer mostly in mountains in mixed coniferous and deciduous forest, especially around aspens. During migration and winter it occurs in both mountains and lowlands, in deciduous trees, riverside willow groves, pine-oak woods, orchards.",,,,,,,,
B0161,Aves,Piciformes,Picidae,Sphyrapicus ruber,Red-breasted Sapsucker,279,,,,,,,,,,,UNCOMMON - A/ UNCOMMON - A,UNCOMMON - A,COMMON - S,"Coniferous forest, aspen groves; in winter, also other trees. During summer on the northwest coast, the Red-breasted Sapsucker is often in forest of hemlock or spruce. Farther south in the mountains it is found in pine forest, always with a mixture of deciduous trees such as aspen, alder, willow. In winter some move south or into lowlands, occurring in deciduous or coniferous trees.",,,,,,,,
B0162,Aves,Piciformes,Picidae,Dryobates villosus,Hairy Woodpecker,280,COMMON - A,COMMON - A,COMMON - A,COMMON - A,COMMON - A,,COMMON - A,,COMMON - A,RARE - A,COMMON - A/ COMMON - A,UNCOMMON - A,COMMON - A,"Forests, woodlands, river groves, shade trees. Accepts wide variety of habitats so long as large trees present; found in deciduous, coniferous, and mixed forest, groves along rivers in prairie country, open juniper woodland, swamps. In southwest and from Mexico to Panama found in mountain forests, mostly of pine, but also in cloud forest in Central America.",,,,,,,,
B0163,Aves,Piciformes,Picidae,Picoides pubescens,Downy Woodpecker,281,COMMON - A,COMMON - A,ABUNDANT - A,UNCOMMON - A/ COMMON - A,COMMON - A,,,,COMMON - A,COMMON - A,COMMON - A/ UNCOMMON - A,UNCOMMON - A,UNCOMMON - A,"Forests, woodlots, willows, river groves, orchards, shade trees. Found in wide variety of habitats, from wilderness areas to second-growth woods to suburban yards, but generally favors deciduous trees. In far north and in mountains (areas dominated by conifers), restricted to groves of deciduous trees such as aspens or willows.",,,,,,,,
B0164,Aves,Piciformes,Picidae,Picoides dorsalis,American Three-Toed Woodpecker,282,,,,UNCOMMON - A,COMMON - A,,,,,,,,,"Conifer forests. Often closely associated with spruce, also found in pine, fir, tamarack, sometimes mixed with deciduous trees such as aspen or willow. Favors areas with many standing dead trees, as after fire or floods. May concentrate in areas with big infestations of wood-boring insects.",,,,,,,,
B0165,Aves,Piciformes,Picidae,Dryobates scalaris,Ladder-backed Woodpecker,283,,,,,,COMMON - A,RARE - A,COMMON - A,,,,,,"Deserts, river woods, groves, dry woods, arid brush. In the United States in dry areas of southwest, including brushland, desert washes, mesquites, riverside trees in prairie country, towns. Moves into adjacent habitats such as oaks and pinyon-juniper stands in foothills, woods on Texas coast. In Central America also in thorn forest, pine-oak woods, even coastal mangroves.",,,,,,,,
B0166,Aves,Piciformes,Picidae,Melanerpes uropygialis,Gila Woodpecker,276,,,,,,OCCASIONAL - A,,COMMON - A,,,,,,"Desert washes, saguaros, river groves, cottonwoods, towns. Generally in dry country, but requires suitable sites for nesting cavities: cottonwood groves along rivers, large mesquites or willows, palms, giant cactus such as saguaro or cardon. Readily adapts to suburbs of southwestern cities. Also dry tropical forest in Mexico.",,,,,,,,
B0167,Aves,Piciformes,Picidae,Colaptes chrysoides,Gilded Flicker,285,,,,,,OCCASIONAL - A,,COMMON - A,,,,,,"Deserts, riverside groves. Common in Sonoran desert, where it nests in holes in giant saguaro cactus. Also found in groves of cottonwoods and other trees along rivers and streams at low elevations.",,,,,,,,
B0168,Aves,Piciformes,Picidae,Colaptes auratus,Northern Flicker,284,COMMON - S,UNCOMMON - A,COMMON - S,COMMON - A,COMMON - A,,COMMON - W,,COMMON - S,COMMON - A,COMMON - A/ COMMON - A,ABUNDANT - A,COMMON - A,"Open forests, woodlots, groves, towns, semi-open country. With its wide range, from Alaska to Nicaragua, the flicker can be found in almost any habitat with trees. Tends to avoid dense unbroken forest, requiring some open ground for foraging. May be in very open country with few trees.",,,,,,,,
B0169,Aves,Piciformes,Picidae,Sphyrapicus thyroideus,Williamsons Sapsucker,279,,,,UNCOMMON - S,RARE - S,,,,,,,,,"Higher conifer forests, burns. In summer found in mountains in conifer forests including spruce, fir, and lodgepole pine; also in aspen groves near conifers. Winters mostly in pine and pine-oak woodland in mountains. Even those few that wander to lowlands in winter are likely to be found in conifers.",,,,,,,,
B0170,Aves,Piciformes,Picidae,Picoides arcticus,Black-backed Woodpecker,282,,,,RARE - A,UNCOMMON - A,,,,,,RARE - A/ N,,,"Boreal forests of firs and spruces. Favors areas of dead or dying conifers, and may concentrate at burned or flooded areas with many standing dead trees. Also in undamaged forests of pine, Douglas-fir, hemlock, tamarack, and spruce, especially spruce bogs. Frequents lowlands in north, mountains in west.",,,,,,,,
B0171,Aves,Piciformes,Picidae,Dryocopus pileatus,Pileated Woodpecker,285,UNCOMMON - A,UNCOMMON - A,COMMON - A,,COMMON - A,,,,COMMON - A,COMMON - A,UNCOMMON - A/ COMMON - A,UNCOMMON - A,UNCOMMON - A,"Conifer, mixed, and hardwood forests; woodlots. Favors mature deciduous or mixed deciduous-coniferous forest, also coniferous forest. Wide variety of specific forest types from southern swamps to old-growth Douglas-fir forest of northwest. Also in second-growth and fragmented woodlots, as long as some large trees are present.",,,,,,,,
B0172,Aves,Apodiformes,Apodidae,Aeronautes saxatalis,White-throated Swift,288,,,,UNCOMMON - S/ UNKNOWN - S,UNKNOWN - S,COMMON - A,ABUNDANT - A,UNCOMMON - A,,,,,COMMON - S,"Open sky, cruising widely. May be seen in the air over virtually any western habitat, wherever there might be flying insects. Breeds in crevices in cliffs, mostly in dry mountains and canyons, locally on sea cliffs.",,,,,,,,
B0173,Aves,Apodiformes,Apodidae,Chaetura pelagica,Chimney Swift,289,COMMON - S,COMMON - S,COMMON - S,,,,,,UNCOMMON - S,RARE - A,,,,"Open sky, especially over cities and towns. Forages in the sky over any kind of terrain, wherever there are flying insects. Now most common over towns and cities; within its range, few forests remain with hollow trees large enough to serve as nest sites.",,,,,,,,
B0174,Aves,Apodiformes,Apodidae,Cypseloides niger,Black Swift,289,,,,,RARE - S,,,,,,UNCOMMON - S/ UNCOMMON - S,OCCASIONAL - S,COMMON - S,"Open sky over mountains, coastal cliffs. Forages widely over any kind of terrain but is still very local in its occurrence, probably limited to regions with suitable nesting sites. Nests on ledges or in crevices in steep cliffs, either along coast or near streams or waterfalls in mountains.",,,,,,,,
B0175,Aves,Apodiformes,Trochilidae,Archilochus colubris,Ruby-Throated Hummingbird,296,COMMON - S,COMMON - S,COMMON - S,,,,,,UNCOMMON - S,COMMON - W,,,,"Gardens, wood edges. Summers in a variety of semi-open habitats, including open woods, clearings and edges in forest, gardens, city parks. Winters mostly in rather open or dry tropical scrub, not usually in rain forest. Migrants may pause in any open habitat with flowers.",,,,,,,,
B0176,Aves,Apodiformes,Trochilidae,Archilochus alexandri,Black-Chinned Hummingbird,296,,,,,RARE - S,UNCOMMON - S,ABUNDANT - S,COMMON - A,,,,,RARE - S,"Semi-arid country, river groves, suburbs. Breeds in many kinds of semi-open habitats in the lowlands, including streamsides, towns, brushy areas, oak groves in canyons. In the southwest, avoids most open desert but may be found along dense washes or desert rivers. After breeding, may move to higher elevations in the mountains.",,,,,,,,
B0177,Aves,Apodiformes,Trochilidae,Calypte anna,Annas Hummingbird,297,,,,,,COMMON - A,OCCASIONAL - A,COMMON - A,,,UNCOMMON - A/ UNCOMMON - A,COMMON - A,COMMON - S,"Gardens, chaparral, open woods. Found in a wide variety of habitats within its range, including streamside groves, chaparral, open oak woodland, coastal sage scrub, gardens, city parks. Most common in lowlands and lower mountain slopes, but may wander to high mountain meadows in late summer.",,,,,,,,
B0178,Aves,Apodiformes,Trochilidae,Selasphorus platycercus,Broad-Tailed Hummingbird,299,,,,RARE - S/ COMMON - S,,,COMMON - S,COMMON - S,,,,,OCCASIONAL - S,"Mountain meadows and forests. Breeds mostly in mountains, up to over 10,000 feet elevation. Mostly in rather open forest, especially near streams, including pine-oak and pinyon-juniper woods, and associations of spruce, Douglas-fir, and aspen. Migrants occur in all semi-open habitats of mountains and also make stopovers in lowlands.",,,,,,,,
B0179,Aves,Apodiformes,Trochilidae,Selasphorus calliope,Calliope Humminbird,299,,,,RARE - S/ COMMON - S,COMMON - S,,,,,,UNCOMMON - S/ N,,COMMON - S,"Forest glades, canyons, usually in mountains. Breeds mostly from 4,000 feet up to near treeline. Favors open shrubby areas, especially near streams, and may be most common in second growth several years after fire or logging. Winters mostly in pine-oak woods of mountains in Mexico, and migrants occur both in mountains and lowlands.",,,,,,,,
B0180,Aves,Apodiformes,Trochilidae,Selasphorus sasin,Alles Hummingbird,298,,,,,,,,,,,,COMMON - S,,"Brushy canyons, parks, gardens. Breeds in a variety of semi-open habitats, including open oak woods, streamside groves, well-wooded suburbs, city parks. Winters mostly in foothills and mountain forests in Mexico. Migrants also occur in high mountain meadows in late summer.",,,,,,,,
B0181,Aves,Apodiformes,Trochilidae,Selasphorus rufus,Rufous Hummingbird,298,,,,RARE - S/ COMMON - S,COMMON - S,,,,,,COMMON - S/ COMMON - S,,,"Forest edges, streamsides, mountain meadows. Breeding habitat includes forest edges and clearings, and brushy second growth within the region of northern coast and mountains. Winters mostly in pine-oak woods in Mexico. Migrants occur at all elevations but more commonly in lowlands during spring, in mountain meadows during late summer and fall.",,,,,,,,
B0182,Aves,Apodiformes,Trochilidae,Calypte costae,Costas Hummingbird,297,,,,,,COMMON - S,UNCOMMON - S,UNCOMMON - S,,,,,,"Deserts, washes, sage scrub. Mostly in dry and open habitats having a good variety of plant life, such as washes and streamsides in Sonoran desert, lower parts of dry canyons, coastal sage scrub. Rarely moves up into mountain meadows after breeding season.",,,,,,,,
B0183,Aves,Passeriformes,Hirundinidae,Progne subis,Purple Martin,290,COMMON - S,RARE - S,UNKNOWN - S,,,,,COMMON - S,UNKNOWN - S,COMMON - S,,OCCASIONAL - S,,"Towns, farms, semi-open country near water; in west, also mountain forest, saguaro desert. In the east, breeds in any kind of semi-open area where nest sites are provided, especially near a pond or river. More local in the west, with isolated colonies breeding around woodland edges, clearings in mountain forest, and lowland desert with giant saguaro cactus.",,,,,,,,
B0184,Aves,Passeriformes,Hirundinidae,Hirundo rustica,Barn Swallow,290,COMMON - S,COMMON - S,COMMON - S,UNCOMMON - S/ COMMON - S,COMMON - S,,,UNCOMMON - S,RARE - S,,COMMON - S/ COMMON - S,ABUNDANT - S,UNCOMMON - S,"Open or semi-open land, farms, fields, marshes, lakes. May occur in any kind of open or partly open terrain, especially near water, generally avoiding very dry country and unbroken forest. Often breeds around farms, buildings, towns, and forages over fields or ponds.",,,,,,,,
B0185,Aves,Passeriformes,Hirundinidae,Petrochelidon pyrrhonota,Cliff Swallow,291,UNCOMMON - S,OCCASIONAL - S,COMMON - S,COMMON - S,COMMON - S,,COMMON - S,UNCOMMON - S,,,UNCOMMON - S/ COMMON - S,ABUNDANT - S,UNCOMMON - S,"Open to semi-open land, farms, cliffs, river bluffs, lakes. Widespread in all kinds of semi-open country, especially near water, from prairies to desert rivers to clearings in northern forest. Breeds where it can find sheltered vertical cliffs or other surfaces for nesting and a supply of mud for building the nest; still unaccountably scarce or missing in some seemingly suitable areas.",,,,,,,,
B0186,Aves,Passeriformes,Hirundinidae,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,292,UNCOMMON - S,UNCOMMON - S,UNKNOWN - S,UNCOMMON - S/ COMMON - S,UNCOMMON - S,COMMON - S,COMMON - S,UNCOMMON - S,,,UNCOMMON - S/ COMMON - S,COMMON - S,UNCOMMON - S,"Near streams, lakes, river banks, also arroyos in dry country. Widespread in any kind of open country, but most commonly near water, nesting in vertical dirt banks (as along streambanks, river bluffs, gravel pits). May also nest along dry washes in arid country, but usually feeds over water, fields, or dense brush.",,,,,,,,
B0187,Aves,Passeriformes,Hirundinidae,Riparia riparia,Bank Swallow,292,COMMON - S,,UNKNOWN - S,UNCOMMON - S/ COMMON - S,UNCOMMON - S,,,,OCCASIONAL - S,,,,,"Near water; fields, marshes, streams, lakes. Typically seen feeding in flight over (or near) water at all seasons, even in migration. Nests in colonies in vertical banks of dirt or sand, usually along rivers or ponds, seldom away from water.",,,,,,,,
B0188,Aves,Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,293,COMMON - S,RARE - S,ABUNDANT - S,S COMMON/ ABUNDANT - S,COMMON - S,,COMMON - W,,UNCOMMON - S,ABUNDANT - W,COMMON - S/ COMMON - S,ABUNDANT - S,UNCOMMON - S,"Open country near water, marshes, meadows, lakes. May breed in any kind of open or semi-open area that provides both nesting sites and a good supply of flying insects. Typically breeds close to water, as around ponds or marshes, but also nests away from water around meadows or brushy areas. In winter, mainly around marshes and near bayberry thickets along coast.",,,,,,,,
B0189,Aves,Passeriformes,Hirundinidae,Tachycineta thalassina,Violet-Green Swallow,293,,,,COMMON - S,COMMON - S,,ABUNDANT - S,,,,COMMON - S/ COMMON - S,ABUNDANT - S,COMMON - S,"Widespread when foraging; nests in open forests, mountains, towns. During migration, often near water, as along rivers, lakes, coastline. Wide range of nesting habitats, mainly in semi-open situations, including aspen groves, pine forest, canyon walls, sometimes open prairie if nest sites exist. In Mexico, also in low desert, nesting in holes in giant cactus.",,,,,,,,
B0190,Aves,Passeriformes,Tyrannidae,Contopus virens,Eastern Wood-Pewee,307,COMMON - S,COMMON - S,COMMON - S,,,,,,RARE - S,,,,,"Woodlands, groves. Breeds in forest (mainly deciduous, sometimes mixed, seldom coniferous.) Favors margins of clearings, such as around meadows, roadsides, ponds, or small openings in the forest.",,,,,,,,
B0191,Aves,Passeriformes,Tyrannidae,Contopus sordidulus,Western Wood-Pewee,307,,,,UNCOMMON - S/ COMMON - S,UNCOMMON - S,,ABUNDANT - S,,,,UNCOMMON - S/ UNCOMMON - S,COMMON - S,COMMON - A,"Woodlands, pine-oak forests, open conifers, river groves. Breeds in a wide variety of open wooded habitats, mostly from the lowlands up to middle elevations in mountains. Favored habitats include aspen groves, pine-oak woods, and cottonwood-willow groves along streams. Winters at forest edges and in scrubby woods in the tropics.",,,,,,,,
B0192,Aves,Passeriformes,Tyrannidae,Empidonax difficilis,Pacific-slope Flycatcher,309,,,,,,,,,,,COMMON - S/ ABUNDANT - S,COMMON - S,UNCOMMON - S,"Moist woods, mixed forests, shady canyons. Breeds in wet forested regions. Often common in zones of coniferous forest, but there it seems to concentrate in deciduous growth, such as maples and alders, along streams. Also found in canyon groves of oak, sycamore, or willow.",,,,,,,,
